Survived,Pclass,Sex,SibSp,Parch,FamilySize,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Title_Rev,Ticket_first_letter_2,Ticket_first_letter_3,Ticket_first_letter_4,Ticket_first_letter_6,Ticket_first_letter_7,Ticket_first_letter_X,Cabin_First_B,Cabin_First_C,Cabin_First_D,Cabin_First_E,Cabin_First_F,Cabin_First_N,Age,Fare
0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.5029485386158568
0,1,0,3,2,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.7886780036094854,4.647001076532463
1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.13874094063405557,-0.48977642625839407
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4894421904510968
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7729556717319366,-0.09027201697708476
1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.14607129634488009,2.301728820789
1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.13874094063405557,-0.49237782784290063
0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.7064068888213164,-0.43700743807979686
0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.11940642846316166,1.0060617003323709
0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9216826884311197,0.39858208016340624
1,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.5028639729296732
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,-0.4863374216869257
0,3,1,2,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8630415119590769,-0.2859972841804228
1,3,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.160495545357443,-0.42207354059350805
0,3,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7729556717319366,-0.4576454924460446
0,2,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.19376993681275317,-0.22559322262067316
0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4894421904510968
1,2,1,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.9784941372029496,0.18876253192945994
1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.7886780036094854,-0.48977642625839407
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.4863374216869257
0,3,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.20110029252357797,-0.3363340021468808
1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.13874094063405557,-0.49237782784290063
0,3,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.11706952808853936,-0.21191774308354583
0,3,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8630415119590769,-0.29002422161773944
0,3,0,4,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.6810401038045837,0.1506737441786005
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,-0.4913710934835715
1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.4422272468782604,0.8964967865378598
1,2,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.04504292011357013,-0.12491978668775715
0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6320433804717247,0.5995101505357573
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2449747624498367,0.06635974158478332
1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,-0.43700743807979686
0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.0822246742883659,-0.5028639729296732
1,2,1,1,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.8297671205037667,-0.08968408411123653
0,3,0,5,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.3835860704062175,0.2958951755118318
0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.5655874785607108,-0.5028639729296732
1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6242286550327536,0.962353321387736
0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.1447732134798942,1.0323213593611125
0,3,0,3,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.9041306288533582,-0.08666388103324908
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.09027201697708476
1,3,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.861743429094091,-0.3414522396297103
1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.04504292011357013,-0.43700743807979686
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7886780036094854,-0.4841568350646187
1,3,1,4,2,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.9374050203086685,-0.4888542575852486
0,3,0,2,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.2681334451623447,-0.47400492578514347
0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.17804760493520444,-0.43700743807979686
0,3,1,5,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.0117685286582598,0.2958951755118318
0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,0.8314778546749452
0,3,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.2681334451623447,-0.3573908580066095
1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17804760493520444,0.48910360681684706
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.3424969535119362,-0.494391296561559
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4894421904510968
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4863374216869257
1,2,0,0,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.1398629503215636,-0.06451572512800753
1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.029320588236021388,-0.397241430886295
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.5655874785607108,-0.46720946885967163
1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.04504292011357013,-0.45714212526638004
1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.13874094063405557,-0.49162277707340374
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.11940642846316166,0.29992211294914856
1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.9374050203086685,-0.43700743807979686
1,3,1,3,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.25241111328479593,-0.32928686163157667
0,3,0,1,3,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.0117685286582598,0.04370821849987721
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.4863374216869257
1,1,1,3,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.4912239702111193,4.647001076532463
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.41686046186152775,-0.4863374216869257
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.04504292011357013,-0.4863374216869257
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.7143144952598939,-0.4902797934380587
0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.2191367218294857,0.5833178351003071
0,3,0,1,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.2681334451623447,-0.23415046467497105
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.1858623303741758,-0.5024451714361923
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4863374216869257
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0782244305692736,0.0493298231623713
1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.4912239702111193,0.6272778976347743
1,2,1,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3267746216343875,-0.18532384824750675
0,2,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3267746216343875,-0.12491978668775715
0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.11940642846316166,-0.4894421904510968
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4894421904510968
0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.6399509869103023,0.907737982394129
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.25241111328479593,-0.4741720436887921
0,3,0,2,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.549865146683162,-0.4888542575852486
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.11940642846316166,-0.4894421904510968
1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6399509869103023,-0.494391296561559
1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.4918744606632361
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6242286550327536,-0.4894421904510968
1,3,1,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.06660833753495161,-0.1621689579829361
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2935002301790772,0.39858208016340624
0,3,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1233137911826472,-0.3573908580066095
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.5655874785607108,-0.4863374216869257
0,3,1,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.7143144952598939,-0.4505983519307405
0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.9374050203086685,-0.3573083057891445
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,-0.4888542575852486
0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.0410426763944782,-0.49237782784290063
0,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.04504292011357013,-0.22559322262067316
0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.41686046186152775,4.335332226633905
0,3,1,4,2,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.052857645552541,-0.01870931177853076
0,2,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,0.8314778546749452
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.4863374216869257
0,2,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.21522935911000018,-0.04295550208861426
1,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.21522935911000018,-0.3866707201133388
0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8140447886262179,0.907737982394129
1,3,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.309222562056626,-0.42207354059350805
0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.49237782784290063
1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.41686046186152775,-0.5046257580584992
1,3,1,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.309222562056626,-0.19824427701513722
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1447732134798942,-0.5079822104125026
0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.25241111328479593,-0.4894421904510968
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7143144952598939,-0.5064721088735089
0,3,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.2935002301790772,-0.35646868933346404
1,2,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.04504292011357013,-0.12491978668775715
0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.3424969535119362,-0.3866707201133388
0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.4912239702111193,-0.3454791770670269
1,1,1,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7886780036094854,-0.11921562980779811
0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.549865146683162,0.4207302360686478
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.0117685286582598,-0.4628462821463391
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.41686046186152775,0.9462455716384695
0,3,1,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.6823381866695695,-0.3414522396297103
1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.5655874785607108,-0.49237782784290063
1,3,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.41686046186152775,-0.32928686163157667
0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.7886780036094854,-0.5125125150294839
0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.8630415119590769,-0.41687275089321363
0,2,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7886780036094854,0.09152810056801232
1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.19376993681275317,-0.49145565916975514
0,3,1,2,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.5323130871054005,0.04370821849987721
0,2,0,0,2,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5126833925083663,-0.12491978668775715
0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.9216826884311197,-0.3866707201133388
0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.5909542635774434,-0.39623469652696586
1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5655874785607108,0.6925485130875209
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.9255900511506052,-0.4863374216869257
0,3,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8101374259067323,-0.35646868933346404
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.5011867534870308
0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.5909542635774434,0.5874293382238074
1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.0117685286582598,-0.49271407711891657
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.029320588236021388,-0.4863374216869257
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.47400492578514347
0,3,0,8,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.861743429094091,0.7519458402879414
0,3,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0704097051303028,-0.32425318983493084
1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7729556717319366,-0.331300330350235
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.2681334451623447,-0.4918744606632361
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.9374050203086685,-0.47400492578514347
0,3,0,4,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.127221153902133,0.1506737441786005
1,3,0,0,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.5323130871054005,-0.2351571990343002
1,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.18707722106128996,0.4589861417231558
0,3,1,1,4,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1447732134798942,-0.08666388103324908
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.12642988822675086
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.11940642846316166,0.48910360681684706
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.3345893470733587,0.026090367211616904
0,3,0,4,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.9041306288533582,-0.06199888922968463
1,3,1,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.127221153902133,-0.4242561406845337
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6399509869103023,-0.4888542575852486
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.962771805325401,-0.030371322596999754
0,3,0,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8630415119590769,-0.4902797934380587
0,3,0,3,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.861743429094091,-0.13565761536436197
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.516590755227852,-0.07030444769415023
0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.029320588236021388,-0.3866707201133388
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4755016383335705,-0.6484216535389205
0,3,1,8,2,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.861743429094091,0.7519458402879414
0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2449747624498367,-0.34539461138084326
0,3,0,4,2,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.5323130871054005,-0.016444159470040135
1,2,0,2,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.127221153902133,0.13683114673782454
1,3,1,0,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.9041306288533582,-0.20495516825442542
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2449747624498367,0.3583127057902398
1,3,1,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.14607129634488009,-0.3363340021468808
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1447732134798942,-0.11384570873513637
0,3,0,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7729556717319366,-0.3363340021468808
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.4755016383335705,-0.4894421904510968
